Date,Close/Last,Volume,Open,High,Low,Day
4/21/2022,124.8145,36445160,129.25,130.0985,124.5265,544
4/22/2022,119.6355,56883720,125,125.402,118.925,545
4/25/2022,123.074,46128260,119.101,123.2775,118.511,546
4/26/2022,118.65,73054880,122.2945,122.51,118.511,547
4/27/2022,114.2945,91820580,114.4693,117.242,112.7365,548
4/28/2022,118.5225,48884640,116.415,119.6495,114.115,549
4/29/2022,114.1095,42676000,116.7345,117.9198,113.8145,550
5/2/2022,116.583,35533020,113.405,116.7455,112.6,551
5/3/2022,117.334,24967360,116.4305,118.4418,116.0345,552
5/4/2022,122.261,49915280,117.0315,122.8545,115.116,553
5/5/2022,116.5055,45840580,120.204,121.039,115.0057,554
5/6/2022,115.7465,39709580,115.1845,117.5715,114.0155,555
5/9/2022,112.511,40802860,113.25,115.0771,112.0005,556
5/10/2022,114.395,39900380,115.5075,116.25,112.9005,557
5/11/2022,113.6025,37534740,113.2365,116.3644,113.2365,558
5/12/2022,112.844,53836180,111.3775,114.295,109.8245,559
5/13/2022,116.0505,35038480,114.533,117.875,113.605,560
5/16/2022,114.445,25990440,114.9555,116.17,113.8895,561
5/17/2022,116.473,23053160,116.8405,116.9,114.8698,562
5/18/2022,111.8995,35125980,115,115.4,111.5555,563
5/19/2022,110.384,34144400,111.4315,113.01,110,564
5/20/2022,108.908,48962960,111.951,112.1835,105.7964,565
5/23/2022,111.488,37184940,109.5875,112.1475,108.741,566
5/24/2022,105.97,76779780,105.772,106.4583,101.8847,567
5/25/2022,105.805,40257340,104.9855,106.5,103.8565,568
5/26/2022,107.7925,37947220,105.677,108.6495,105.2249,569
5/27/2022,112.3165,37914120,109.483,112.318,109.1383,570
5/31/2022,113.762,50012260,112.7465,115.735,112.0785,571
6/1/2022,113.892,36605520,114.855,117.1016,113.25,572
6/2/2022,117.6225,37992280,114,117.8995,112.9465,573
6/3/2022,114.541,26135460,116.0625,116.3216,113.5185,574
6/6/2022,116.8205,33541540,116.7045,119.347,116.164,575
6/7/2022,117.1495,31590460,115.4805,117.691,115.052,576
6/8/2022,117.194,26107740,116.7615,118.5705,116.6,577
6/9/2022,114.8355,25797960,116.3275,118.299,114.776,578
6/10/2022,111.1615,41481840,112.445,113.279,110.3661,579
6/13/2022,106.3925,47251920,106.7865,108.7915,106.1192,580
6/14/2022,106.7155,33706260,106.535,107.9245,105.8,581
6/15/2022,109.7645,39698180,108.545,111.4235,107.6695,582
6/16/2022,106.0335,51684960,107.221,108.6485,105.138,583
6/17/2022,107.1435,51376520,106.0335,108.6995,105.046,584
6/21/2022,111.544,47415800,108.9295,112.4893,108.6,585
6/22/2022,111.4875,30774140,110.5565,113.3465,110.3824,586
6/23/2022,112.242,28361920,112.2315,112.7425,110.5005,587
6/24/2022,117.975,41163680,112.995,118.079,112.9525,588
6/27/2022,115.8335,36420760,118.273,118.5795,115.1797,589
6/28/2022,112.0075,35880960,115.8025,117.3095,111.848,590
6/29/2022,111.7015,24716820,111.552,113.1603,110.8725,591
6/30/2022,108.963,43169060,110,110.888,106.75,592
7/1/2022,108.7375,35475660,107.933,109.25,106.7305,593
7/5/2022,113.263,39399640,107.1005,113.3768,105.7315,594
7/6/2022,114.572,37431380,113.302,115.5895,111.476,595
7/7/2022,118.783,40935880,115.08,119.1895,114.8335,596
7/8/2022,119.3535,38238160,117.25,119.685,116.9013,597
7/11/2022,115.6765,31243700,117.998,117.998,115.3305,598
7/12/2022,114.0205,29959700,116.215,116.974,113.6902,599
7/13/2022,111.3535,43722020,111.701,114.196,111.2015,600
7/14/2022,110.3675,37003040,110.2105,111.093,108.373,601
7/15/2022,111.7775,46769120,112.0005,113.1405,110.9,602
7/18/2022,109.03,43164590,112.64,113.68,108.37,603
7/19/2022,113.81,36530950,110.85,114.02,109.56,604
7/20/2022,113.9,35600430,113.17,115.4,112.48,605
7/21/2022,114.34,32676170,114.28,114.55,111.1132,606
7/22/2022,107.9,48901180,111,112.34,106.5,607
7/25/2022,107.51,34690890,108.41,109.87,106.3,608
7/26/2022,105.02,47990960,106.6,107.2,104.07,609
7/27/2022,113.06,59858500,109.26,113.91,108.01,610
7/28/2022,114.22,32816570,112.37,114.34,111.46,611
7/29/2022,116.32,37223390,113.08,116.705,113.06,612
8/1/2022,114.86,26034290,115.3,116.72,114.34,613
8/2/2022,115.13,20236030,114,116.35,113.72,614
8/3/2022,118.08,28499010,115.71,118.62,115.48,615
8/4/2022,118.19,21602930,117.48,118.78,116.89,616
8/5/2022,117.47,19159520,116.23,118.1056,116,617
8/8/2022,117.3,19169480,118.39,120.15,116.88,618
8/9/2022,116.63,19086470,117.135,117.32,115.71,619
8/10/2022,119.7,30930350,118.78,120.92,118.41,620
8/11/2022,118.84,24293650,121.28,121.49,118.56,621
8/12/2022,121.68,19096270,120.26,121.68,119.46,622
8/15/2022,122.08,19494830,121.13,122.3,120.61,623
8/16/2022,121.7,19041230,121.52,122.43,120.64,624
8/17/2022,119.55,22846960,120.12,121.29,119.38,625
8/18/2022,120.17,17987660,119.43,120.82,118.72,626
8/19/2022,117.21,21809530,119.06,119.15,116.76,627
8/22/2022,114.24,21456650,115.2,115.63,113.85,628
8/23/2022,113.86,15870370,113.475,115.01,113.43,629
8/24/2022,113.69,17734620,113.5,114.78,112.8701,630
8/25/2022,116.65,16956790,114.235,116.72,114.11,631
8/26/2022,110.34,37245700,114.72,115.12,110.19,632
8/29/2022,109.42,21191160,109.99,110.95,108.8,633
8/30/2022,108.94,27513260,110.17,110.5,107.8,634
8/31/2022,108.22,28626970,110.65,110.85,108.13,635
9/1/2022,109.74,28360930,108.28,110.445,107.36,636
9/2/2022,107.85,24160710,110.59,110.74,107.26,637
9/6/2022,106.81,25068280,107.3,108.03,105.78,638
9/7/2022,109.45,23166970,107.06,109.98,106.9,639
9/8/2022,108.38,24238290,108.04,109.6,107.16,640
9/9/2022,110.65,23213590,109.065,110.99,109.02,641
9/12/2022,110.86,22966750,110.99,111.62,109.93,642
9/13/2022,104.32,38172870,107.8,108.3,104.09,643
9/14/2022,105,26395130,104.57,105.275,103.66,644
9/15/2022,102.91,34188280,104.03,105.27,102.35,645
9/16/2022,102.8,42797170,102.07,103.13,100.94,646
9/19/2022,103.07,23036810,101.75,103.33,101.55,647
9/20/2022,101.14,26517120,102.08,102.37,100.52,648
9/21/2022,99.28,31487270,101.67,102.88,99.27,649
9/22/2022,100.14,34298620,98.82,101.24,98.79,650
9/23/2022,98.74,31625440,99.63,99.66,97.47,651
9/26/2022,98.17,27072660,98.1,99.88,97.8,652
9/27/2022,97.5,30072780,99.43,100,96.872,653
9/28/2022,100.05,32466320,97.65,100.7,97.11,654
9/29/2022,97.42,31047220,98.64,98.64,95.96,655
9/30/2022,95.65,32941490,97.05,98.9,95.56,656
10/3/2022,98.64,27982030,96.76,99.2872,96.521,657
10/4/2022,101.64,28850770,100.44,101.84,100.38,658
10/5/2022,101.43,22176900,99.825,101.93,98.8,659
10/6/2022,101.42,22323990,100.68,102.9254,100.59,660
10/7/2022,98.68,27502770,99.85,100.53,98.295,661
10/10/2022,97.86,18225090,99,99.095,97.01,662
10/11/2022,97.18,26507100,97.43,99.245,96.31,663
10/12/2022,97.56,21876360,97.3,98.75,96.735,664
10/13/2022,99.06,34574550,95.15,99.775,94.3836,665
10/14/2022,96.56,25410670,99.99,100.69,96.37,666
10/17/2022,99.97,28419190,98.86,100.93,98.83,667
10/18/2022,100.77,24060670,103.13,103.47,99.97,668
10/19/2022,99.63,23811060,100.01,101.0183,98.9201,669
10/20/2022,99.97,25323200,100,102.32,99.39,670
10/21/2022,101.13,32458720,97.845,101.31,97.72,671
10/24/2022,102.52,27176420,101.8,102.75,99.98,672
10/25/2022,104.48,40611380,102.9,104.82,102.72,673
10/26/2022,94.93,88279040,96.43,98.31,94.69,674
10/27/2022,92.22,60710860,94.52,95.43,91.8,675
10/28/2022,96.29,43697290,92.27,96.55,92.13,676
10/31/2022,94.51,31675040,95.42,96.03,93.98,677
